25801,Skrzetuskiego nż.
25902,Skrzetuskiego nż.
26002,DZIAŁKI RUDAK
26101,Donimirskiego
26202,Donimirskiego
26301,Mickiewicza
26402,Fałata
26501,Lniana
26602,Lniana
26702,Garbaty Mostek
26801,Olbrachta nż.
26901,MOTOARENA
27002,Szosa Bydgoska
27101,Szosa Bydgoska
27204,Szosa Bydgoska nż.
27303,Szosa Bydgoska nż.
27402,Oczyszczalnia nż.
27501,Oczyszczalnia nż.
27602,Starotoruńska
27701,Starotoruńska
27801,PORT DRZEWNY
27901,STROBANDA
28202,Aleja Solidarności
28301,Aleja Solidarności
28402,Targowisko
28501,Bema
28602,Wybickiego
28701,Wybickiego
28802,Żwirki i Wigury
28901,Żwirki i Wigury
29001,Bartkiewiczówny
29102,Bartkiewiczówny
29201,św. Antoniego
29302,św. Antoniego
29401,Lisia
29502,Lisia
29601,Zagonowa nż.
29702,Zagonowa nż.
29802,WRZOSY I
29901,Lotnisko nż.
30002,Lotnisko nż.
30102,Bluszczowa nż.
30201,Dworzec Autobusowy
30301,Plac Św. Katarzyny
30504,Ślaskiego
30601,Prejsa
30701,Szpital Bielany
30801,św. Józefa
30902,św. Józefa
31005,Od Nowa
31102,Od Nowa
31202,Dworzec Miasto
31304,Dworzec Miasto
31403,Dworzec Miasto
31501,Przy Skarpie
31601,Turystyczna nż.
31702,Turystyczna nż.
31801,Wieżowa nż.
31902,Wieżowa nż.
32101,Dożynkowa nż.
32201,Kogucia nż.
32302,Kogucia nż.
32401,Drwęca nż.
32502,DRWĘCA
32601,Złotoria - Pomorska nż.
32702,Złotoria - Pomorska nż.
32802,Złotoria nż.
33101,Wały gen. Sikorskiego
33202,Wały gen. Sikorskiego
33302,Meprozet nż.
33401,Meprozet nż.
33602,Warneńczyka
33701,Warneńczyka
33802,Warneńczyka
33901,Warneńczyka
34001,Odrodzenia
34102,Plac Św. Katarzyny
34201,Dworzec Miasto
34301,Gardzielewskiego
34504,Wschodnia
34603,Wschodnia
34701,Działki Rudak
34901,WSCHODNIA (pętla)
35006,Plac Daszyńskiego
35105,Plac Daszyńskiego
35201,Matysiaków
35301,Zdrojowa nż.
35401,Dworzec Wschodni
35502,Dworzec Wschodni
35601,Plac Daszyńskiego II
35702,Plac Daszyńskiego
35802,Szpital Bielany
35902,Boboli
36001,Żwirki i Wigury
36102,Lecha
36201,Lecha
36301,Gniewkowska nż.
36402,Gniewkowska nż.
36502,Wianki
36601,Wianki
36701,Bliska nż.
36802,Bliska nż.
36901,SZUBIŃSKA
37001,Biała
37102,Biała
37201,63. Pułku Piechoty
37302,63. Pułku Piechoty
37704,Drzymały
37803,Drzymały
37901,Kusocińskiego nż.
38002,Kusocińskiego nż.
38101,Odległa nż
38202,Płocka nż.
38301,Lubicz Dolny - Lipowa n/ż
38402,Lubicz Dolny - Lipowa n/ż
38501,Lubicz Dolny
38602,Lubicz Dolny
38701,Lubicz Górny
38802,Lubicz Górny
38901,LUBICZ GÓRNY-OSIEDLE
39003,Rypińska
39101,Brzeźno n/ż
39202,Brzeźno n/ż
39301,GRONOWO
39401,Paderewskiego nż.
39502,Paderewskiego nż.
39703,Katarzynka PKP nż.
39801,FORTECZNA
39901,Złotoria - Toruńska nż.
40002,Złotoria - Toruńska nż.
40101,Złotoria - Lipowa nż.
40202,Złotoria - Lipowa nż.
40301,Ceramiczna
40401,EC GRĘBOCIN
40502,Księżycowa nż.
40601,Elektryczna
40702,Elektryczna
40801,Księżycowa nż.
40904,Targowa
41001,Mazowiecka
41101,Cmentarz Centr. II Brama nż.
41301,Fabryczna nż.
41402,Fabryczna nż.
41501,WRZOSOWA
41601,Jastrzębia nż.
41701,Myśliwska nż.
41801,Krucza nż.
41904,Katarzynka PKP nż.
42102,Wielki Rów
42201,Wielki Rów
42303,Wielki Rów
42402,Traktorowa
42501,Ugory nż.
42602,Liliowa nż.
42902,Czerniewice
43002,Zdrojowa nż.
43102,Matysiaków
43201,Włocławska nż.
43302,Zakole
43401,Zakole
43502,Telimeny
43601,Telimeny
43801,OSIEDLE LEŚNE - POLANA
44701,Owsiana nż.
44801,Lubicz Dolny - Urząd Gminy n/ż
46201,Długa
46302,Długa
46401,Lotników
46501,Lotników
46802,Szosa Okrężna
46901,Szosa Okrężna
47002,Przychodnia
47101,Przychodnia
47201,Złotoria nż.
47301,KOPANINO
47401,BIELAWY
47501,Wiśniowieckiego
47602,Wiśniowieckiego
47701,MAZOWIECKA (pętla)
48003,Garbaty Mostek
48101,Kanałowa
48204,Barwna
48301,Toruńska
48401,Lubicz Górny - Bankowa
48503,Żwirki i Wigury
48604,Plac Daszyńskiego
48703,Koniuchy
48802,Koniuchy
49202,Letnia
49301,Letnia
49402,gen. Orlicza-Dreszera nż.
49501,gen. Orlicza-Dreszera nż.
49701,Kolankowskiego
49802,Kolankowskiego
49901,Słupska nż.
50002,Słupska nż.
50101,Suwalska
50202,Suwalska
50506,Ligi Polskiej
50603,Księżycowa nż.
50702,Solankowa nż.
50801,Poznańska (komisariat) nż.
50902,Poznańska (komisariat) nż.
51001,Kluczyki Cmentarz nż.
51101,Forteczna nż.
51301,Zimowa nż.
51402,Dandelskiego
51501,Dandelskiego
51601,NAD STRUGĄ
51702,Forteczna nż.
51802,Kluczyki Cmentarz nż.
51903,Pilska
52004,Pilska
52102,Ostrołęcka
52201,Ostrołęcka
52303,Chełmska
52404,Chełmska
52703,Katarzynki nż.
52801,Na Zapleczu
52901,Os. Pancernych
53001,KOŁOWA
53101,Na Zapleczu
53302,Andersa nż.
53402,Krynicka
53501,Krynicka
53601,Rudacka nż.
53702,Rudacka nż.
53802,Hutowo nż.
53901,Hutowo nż.
54002,MOTOARENA
54103,OLIMPIJSKA P&R nż.
54201,Młyn Wiedzy nż
54302,Młyn Wiedzy nż
54403,Strzałowa
54503,Letnia
54603,Kniaziewicza
54701,PRZY LESIE
54801,Orzechowa nż.
54902,Orzechowa nż.
55001,Bluszczowa nż.
55102,Odległa nż
55201,Stepowa nż.
55302,Stepowa nż.
55402,Drzymały
55501,Drzymały
55701,Towarowa
55802,Towarowa
55901,Mocarskiego
